gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
574647196																										http://data.rbge.org.uk/herb/E00199731													2004-11-26 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00199731	E00199731		Drège, Jean François				not recorded						herbarium specimen of unspecified type						BGBASE:207046																														Southern Africa					ZA																										degrees minutes seconds																																													Heliophila amplexicaulis L.												Cruciferae	Heliophila		amplexicaulis						ICBN			
574670906																										http://data.rbge.org.uk/herb/E00292814													2009-05-26 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00292814	E00292814		Fuller, Edward Barnard				not recorded						herbarium specimen of unspecified type						BGBASE:309940													August 1888		228					August 1888										Southern Africa					ZA																										degrees minutes seconds																																													Heliophila												Cruciferae	Heliophila								ICBN			
574708508																										http://data.rbge.org.uk/herb/E00292874													2009-02-16 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00292874	E00292874	15774	Hilliard, Olive M. & Burtt, Brian L.				not recorded						herbarium specimen of unspecified type						BGBASE:309678													1982-12-02		336					1982-12-02										Southern Africa					ZA																										degrees minutes seconds																																													Heliophila formosa Hilliard & B. L.Burtt												Cruciferae	Heliophila		formosa						ICBN			
574787422																										http://data.rbge.org.uk/herb/E00199735													2004-11-26 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00199735	E00199735	28312	Esterhuysen, E.				not recorded						herbarium specimen of unspecified type						BGBASE:207051													1959-09-28		271					1959-09-28										Southern Africa					ZA																										degrees minutes seconds																																													Heliophila africana (L.) Marais												Cruciferae	Heliophila		africana						ICBN			
574951031																										http://data.rbge.org.uk/herb/E00292832													2009-02-18 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00292832	E00292832	12931	Lavranos, John Jacob				not recorded						herbarium specimen of unspecified type						BGBASE:309898													April 1976		106					April 1976										Southern Africa					ZA																										degrees minutes seconds																																													Heliophila subulata Burch. ex DC.												Cruciferae	Heliophila		subulata						ICBN			
574958146																										http://data.rbge.org.uk/herb/E00199759													2004-11-26 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00199759	E00199759	311	Bolus, H.				not recorded						herbarium specimen of unspecified type						BGBASE:207079													September 1884		259					September 1884										Southern Africa					ZA																										degrees minutes seconds																																													Heliophila coronopifolia L.												Cruciferae	Heliophila		coronopifolia						ICBN			
574968381																										http://data.rbge.org.uk/herb/E00199743													2004-11-26 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00199743	E00199743	17083	Hilliard, O.M. & Burtt, B.L.				not recorded						herbarium specimen of unspecified type						BGBASE:207061													1983-12-09		343					1983-12-09										Southern Africa					ZA																										degrees minutes seconds																																													Heliophila carnosa Thunb.												Cruciferae	Heliophila		carnosa						ICBN			
574990829																										http://data.rbge.org.uk/herb/E00292841													2009-02-17 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00292841	E00292841		Drège, Jean François				not recorded						herbarium specimen of unspecified type						BGBASE:309814																														Southern Africa					ZA																										degrees minutes seconds																																													Heliophila scoparia Burch.												Cruciferae	Heliophila		scoparia						ICBN			
575000782																										http://data.rbge.org.uk/herb/E00292865													2009-02-16 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00292865	E00292865	10766	Schlechter, M.				not recorded						herbarium specimen of unspecified type						BGBASE:309691													1897-08-07		219					1897-08-07										Southern Africa					ZA																										degrees minutes seconds																																													Heliophila												Cruciferae	Heliophila								ICBN			
575012771																										http://data.rbge.org.uk/herb/E00292857													2009-02-17 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00292857	E00292857	40					not recorded						herbarium specimen of unspecified type						BGBASE:309798																														Southern Africa					ZA																										degrees minutes seconds																																													Heliophila pendula Willd.												Cruciferae	Heliophila		pendula						ICBN			
