species,life_history,Winter,Spring,Summer,Autumn,decimalLatitude,decimalLongitude,src
Heliophila acuminata,A,0.34156040038393,0.506013594248888,0.512049225284519,0.510695187165775,-31.375,19.875,GBIF
Heliophila acuminata,A,0.361099684629096,0.422816399286987,0.574926299191005,0.497806115453174,-31.625,20.125,GBIF
Heliophila acuminata,A,0.180006455868525,0.0618605532398636,0.126954708519695,0.227346217001389,-33.125,18.125,GBIF
Heliophila acuminata,A,0.213179590017825,0.282068911480676,0.228292540792541,0.245166598107775,-31.375,18.875,GBIF
Heliophila acuminata,A,0.267701048951049,0.291580968051556,0.487933634992459,0.381461675579323,-32.875,18.875,GBIF
Heliophila africana,A,0.342657342657343,0.29343205813794,0.474431818181818,0.398464280817222,-33.125,18.375,GBIF
Heliophila africana,A,0.222747840394899,0.332653620888915,0.172836966954614,0.141985465514877,-30.875,30.125,GBIF
Heliophila africana,A,0.31650641025641,0.324283559577677,0.546452934320581,0.550390785684903,-33.375,19.125,GBIF
Heliophila africana,A,0.180006455868525,0.0618605532398636,0.126954708519695,0.227346217001389,-33.125,18.125,GBIF
Heliophila africana,A,0.308994926641986,0.424359953771719,0.492668483477307,0.33305909776498,-28.99861,25.0925,GBIF
Heliophila africana,A,0.441215034965035,0.471548059783354,0.214645036336213,0.173728232551762,-33.625,18.875,GBIF
Heliophila africana,A,0.25348757245309,0.1176582038651,0.19363152320712,0.220746494884426,-34.375,19.125,GBIF
Heliophila africana,A,0.279428904428904,0.223090634855341,0.237479432332374,0.249897161661868,-32.125,18.875,GBIF
Heliophila africana,A,0.259062776304156,0.3823417961349,0.25553498961987,0.249393709738537,-34.125,18.375,GBIF
Heliophila africana,A,0.140952797202797,0.323735088440971,0.420527389277389,0.203139997257644,-33.875,18.875,GBIF
Heliophila africana,A,0.359411421911422,0.388180447003976,0.236253942136295,0.277046482928836,-34.375,20.875,GBIF
Heliophila africana,A,0.279428904428904,0.223090634855341,0.237479432332374,0.249897161661868,-32.125,18.875,GBIF
