species,life_history,lat,lon,Winter,Spring,Summer,Autumn,src
Heliophila tulbaghensis,P,-32.0134266666667,21.43361,0.361752422414187,0.407990702108349,0.361576740253211,0.34802778920426,GBIF
Heliophila variabilis,A,-30.1315626804124,18.2237479381443,0.346138075841684,0.412482463968213,0.402562264903078,0.370051214199183,GBIF
Heliophila acuminata,A,-32.375,19.5625,,,,,GRIDREF
Heliophila africana,A,-33.4637901694915,19.4379427118644,,,,,GRIDREF
Heliophila amplexicaulis,A,-31.6554878048781,18.844512195122,,,,,GRIDREF
Heliophila arenaria,A,-31.429347826087,18.4728260869565,0.33818257083922,0.383641848347731,0.373505304371673,0.347697911636531,GRIDREF
Heliophila carnosa,P,-30.9126111504425,23.2865049557522,,,,,GRIDREF
Heliophila cedarbergensis,P,-32.375,19.25,0.385335252982312,0.407707978296214,0.290394042232278,0.270910462086933,GRIDREF
Heliophila collina,A,-31.4107142857143,19.375,0.356803123347241,0.465742380868431,0.419700397641574,0.402558226087638,GRIDREF
Heliophila cornellsbergia,A,-30.125,17.5416666666667,0.33562148635678,0.408881314763668,0.384055486996664,0.320352849764614,GRIDREF
Heliophila cornuta,A,-32.4318196969697,19.8977287878788,0.343530429760376,0.408187682786613,0.421236869933394,0.353060635146197,GRIDREF
Heliophila coronopifolia,A,-32.984375,18.9375,,,,,GRIDREF
Heliophila crithmifolia,A,-31.9444444444444,20.1555555555556,0.33861393916541,0.40948273948274,0.448053070295717,0.380175815469933,GRIDREF
Heliophila descurva,A,-32.4821428571429,19.8392857142857,0.368122074004427,0.395139314467046,0.406677880942587,0.304626745803216,GRIDREF
Heliophila deserticola,A,-29.7456896551724,19.3663793103448,0.444349018543998,0.468592394758723,0.476531138739557,0.460842234168806,GRIDREF
Heliophila digitata,A,-32.7708333333333,19.4375,0.345771190638394,0.392486767233218,0.429470500059101,0.369527619945977,GRIDREF
Heliophila dregeana,P,-32.7840954545455,19.1022772727273,0.332555034092467,0.352161029701137,0.331260205925981,0.304501202896925,GRIDREF
Heliophila elongata,P,-33.097972972973,25.1790540540541,,,,,GRIDREF
Heliophila ephemera,P,-33.375,22.125,0.119609557109557,0.21664609899904,0.200581893596599,0.215000685588921,GRIDREF
Heliophila esterhuyseniae,P,-33.375,18.9583333333333,0.212825369075369,0.303258832670597,0.373733088806618,0.273549979432332,GRIDREF
Heliophila eximia,P,-29.7083333333333,17.4583333333333,,,,,GRIDREF
Heliophila gariepina,A,-28.7678571428571,17.3392857142857,0.483432009167303,0.53370243202176,0.485861564905683,0.405790288143229,GRIDREF
Heliophila glauca,P,-33.5808823529412,21.9926470588235,0.264808468636323,0.324568856748788,0.312242904154669,0.281563304054654,GRIDREF
Heliophila juncea,P,-32.5333333333333,19.4041666666667,,,,,GRIDREF
Heliophila linearis,P,-34.11875775,21.19375775,,,,,GRIDREF
Heliophila macowaniana,A,-32.9276315789474,19.0328947368421,0.331632215823392,0.382654291013424,0.416982623929218,0.366894715191929,GRIDREF
Heliophila macra,P,-34.3068181818182,20.3068181818182,,,,,GRIDREF
Heliophila macrosperma,P,-32.875,26.125,0.286371920563097,0.383752195516901,0.28149852598382,0.214726450020568,GRIDREF
Heliophila minima,A,-30.7720588235294,23.4044117647059,,,,,GRIDREF
Heliophila namaquana,A,-31.3295454545455,19.0113636363636,0.397183865599641,0.472610989723289,0.475222972214951,0.404403973922691,GRIDREF
Heliophila nubigena,P,-33.4861111111111,19.4583333333333,0.319366839587428,0.383273153861389,0.446272205463382,0.403057726587138,GRIDREF
Heliophila pectinata,A,-32.9728260869565,20.7554347826087,0.285134382880547,0.353663897909422,0.455443240689404,0.359901394428249,GRIDREF
Heliophila polygaloides,P,-33.0416666666667,19.5416666666667,0.453918426344897,0.494734677087618,0.398894202203026,0.379450614744732,GRIDREF
Heliophila pubescens,A,-32.1704545454546,20.375,0.339123443401518,0.410350077729757,0.462801347493861,0.377871682684517,GRIDREF
Heliophila pusilla,A,-33.7115384615385,19.8942307692308,,,,,GRIDREF
Heliophila rigidiuscula,P,-28.471875,29.484375,0.294706910261392,0.338237072680531,0.279243228085493,0.241238387626572,GRIDREF
Heliophila scoparia,P,-33.4802631578947,19.3947368421053,0.324554915442473,0.355813624296063,0.38097403437622,0.336973669190494,GRIDREF
